source|target|weight
ur.0657076451.24|ur.01332351610.88|1
ur.0657076451.24|ur.014615403714.34|1
ur.011535264111.51|ur.011033016243.08|2
ur.011535264111.51|ur.0767105504.29|2
ur.011535264111.51|ur.0721775233.60|1
ur.0767105504.29|ur.011033016243.08|2
ur.0767105504.29|ur.0721775233.60|1
ur.011033016243.08|ur.0721775233.60|1
ur.01137123101.53|ur.01063462075.72|1
ur.01137123101.53|ur.07671053722.37|1
ur.01212135660.92|ur.013324660742.20|1
ur.01212135660.92|ur.013617370277.09|1
ur.01212135660.92|ur.013255774411.35|1
ur.012401436171.63|ur.014404706153.05|1
ur.0632511150.69|ur.01017036620.03|6
ur.0632511150.69|ur.01106116117.02|6
ur.0632511150.69|ur.01177674512.28|1
ur.0632511150.69|ur.01367545054.28|1
ur.0632511150.69|ur.01331056567.35|3
ur.0632511150.69|ur.01152151243.29|1
ur.0632511150.69|ur.0775446106.53|2
ur.0632511150.69|ur.01240545576.43|1
ur.0632511150.69|ur.014732510515.04|1
ur.0632511150.69|ur.01370021645.17|1
ur.0632511150.69|ur.01247073502.08|1
ur.01017036620.03|ur.01106116117.02|4
ur.01017036620.03|ur.01331056567.35|1
ur.01017036620.03|ur.01152151243.29|1
ur.01017036620.03|ur.014030704113.15|1
ur.01017036620.03|ur.01124740433.08|1
ur.07442033622.09|ur.01003107025.98|1
ur.07442033622.09|ur.013334661665.35|1
ur.01003107025.98|ur.013334661665.35|1
ur.011533642664.45|ur.013033620017.83|1
ur.011533642664.45|ur.0777233565.51|1
ur.0777233565.51|ur.013033620017.83|1
ur.01060311600.37|ur.0731647510.44|1
ur.01060311600.37|ur.0703425043.44|1
ur.01060311600.37|ur.012354627662.08|1
ur.0703425043.44|ur.0731647510.44|1
ur.0703425043.44|ur.012354627662.08|1
ur.012354627662.08|ur.0731647510.44|1
ur.010340372063.09|ur.016026302173.26|1
ur.010340372063.09|ur.0723650047.49|1
ur.010340372063.09|ur.01364421314.77|1
ur.010340372063.09|ur.0772212750.06|1
ur.0723650047.49|ur.016026302173.26|1
ur.016026302173.26|ur.01100431331.04|1
ur.016026302173.26|ur.01032316131.09|1
ur.016026302173.26|ur.01324571004.87|1
ur.016026302173.26|ur.01167557463.05|1
ur.016026302173.26|ur.0650322642.18|1
ur.0577663540.73|ur.010102712452.51|1
ur.0577663540.73|ur.01003736510.42|1
ur.0577663540.73|ur.01135513606.98|1
ur.0577663540.73|ur.011472364005.09|1
ur.0721775233.60|ur.0640512403.86|2
ur.0721775233.60|ur.01167557463.05|1
ur.0721775233.60|ur.010205212117.50|1
ur.0721775233.60|ur.01100431331.04|1
ur.0721775233.60|ur.0674632425.14|1
ur.0721775233.60|ur.01107342035.04|1
ur.0721775233.60|ur.0763244404.65|1
ur.0721775233.60|ur.01064146320.53|1
ur.016351021375.63|ur.01073016174.49|1
ur.016351021375.63|ur.013360137015.60|1
ur.016351021375.63|ur.014034553115.79|1
ur.016351021375.63|ur.01205630561.66|1
ur.016351021375.63|ur.016151173635.14|1
ur.016151173635.14|ur.01073016174.49|1
ur.016151173635.14|ur.013360137015.60|1
ur.016151173635.14|ur.014034553115.79|1
ur.016151173635.14|ur.01205630561.66|1
ur.016151173635.14|ur.015102365217.89|1
ur.016151173635.14|ur.015461566321.61|1
ur.01073016174.49|ur.013360137015.60|1
ur.01073016174.49|ur.014034553115.79|1
ur.01073016174.49|ur.01205630561.66|1
ur.01205630561.66|ur.013360137015.60|1
ur.01205630561.66|ur.014034553115.79|1
ur.014034553115.79|ur.013360137015.60|1
ur.014034553115.79|ur.01300642215.93|1
ur.015461566321.61|ur.015102365217.89|1
ur.0621643160.19|ur.0775325121.62|2
ur.0621643160.19|ur.01016705651.70|1
ur.0621643160.19|ur.01201357361.13|2
ur.0621643160.19|ur.01161633026.26|1
ur.0621643160.19|ur.01005350474.77|1
ur.0621643160.19|ur.01212562774.72|1
ur.0770412736.65|ur.01310037735.01|1
ur.0770412736.65|ur.014401622577.37|1
ur.0770412736.65|ur.07543154547.08|2
ur.0770412736.65|ur.013610457477.49|1
ur.0770412736.65|ur.07530265033.01|1
ur.0770412736.65|ur.07720340525.54|1
ur.0621145454.43|ur.07355623634.53|1
ur.0621145454.43|ur.01020333514.12|1
ur.01020333514.12|ur.07355623634.53|1
ur.014345025177.25|ur.010316641605.64|1
ur.014345025177.25|ur.011211464257.08|1
ur.010316641605.64|ur.011211464257.08|1
ur.010316641605.64|ur.016443656152.95|1
ur.012231204137.50|ur.010675506543.03|1
ur.016240210261.17|ur.013327041724.61|2
ur.016240210261.17|ur.015635420025.05|1
ur.016240210261.17|ur.016165077113.59|1
ur.016240210261.17|ur.01264403444.36|1
ur.0732273267.25|ur.011262460751.90|1
ur.013067673344.41|ur.01222150754.25|2
ur.013067673344.41|ur.010631325304.99|3
ur.013067673344.41|ur.01273434240.39|1
ur.013067673344.41|ur.01105722354.85|1
ur.013067673344.41|ur.01047774761.46|1
ur.013067673344.41|ur.01130371715.50|1
ur.013067673344.41|ur.010615444303.31|1
ur.013067673344.41|ur.016520027701.21|1
ur.013067673344.41|ur.016227610432.88|1
ur.013067673344.41|ur.011075133363.70|1
ur.01170402002.42|ur.01005433737.34|1
ur.014122310615.46|ur.016431013674.93|1
ur.014122310615.46|ur.010265144030.40|1
ur.010265144030.40|ur.016431013674.93|1
ur.0704160417.51|ur.010546143103.08|1
ur.0704160417.51|ur.0722660612.29|1
ur.010546143103.08|ur.0722660612.29|3
ur.010546143103.08|ur.01222124041.27|1
ur.010546143103.08|ur.01157072046.40|1
ur.010546143103.08|ur.0672003263.22|1
ur.010546143103.08|ur.01302747466.26|1
ur.010546143103.08|ur.01332351610.88|2
ur.010546143103.08|ur.011656616717.41|1
ur.010546143103.08|ur.01125520126.07|1
ur.010546143103.08|ur.0772322701.64|1
ur.010546143103.08|ur.010524013447.10|1
ur.010546143103.08|ur.0621336461.89|1
ur.010546143103.08|ur.014615403714.34|1
ur.0722660612.29|ur.01222124041.27|1
ur.0722660612.29|ur.01157072046.40|1
ur.0722660612.29|ur.0672003263.22|1
ur.0722660612.29|ur.01302747466.26|1
ur.0722660612.29|ur.01332351610.88|2
ur.0722660612.29|ur.011656616717.41|1
ur.0722660612.29|ur.01016454100.33|1
ur.0722660612.29|ur.01027345757.23|1
ur.0722660612.29|ur.015142004712.75|1
ur.0722660612.29|ur.01277202621.80|1
ur.0722660612.29|ur.0652637201.34|1
ur.0722660612.29|ur.010524013447.10|1
ur.0722660612.29|ur.0621336461.89|1
ur.0722660612.29|ur.014615403714.34|1
ur.014633305273.77|ur.014066625550.68|1
ur.01076142001.95|ur.01173507213.43|1
ur.01076142001.95|ur.01240773741.23|1
ur.01076142001.95|ur.0623367736.95|1
ur.01076142001.95|ur.015445210647.42|1
ur.01076142001.95|ur.01057260613.79|1
ur.01076142001.95|ur.01300660636.14|1
ur.01076142001.95|ur.01153006760.26|1
ur.01076142001.95|ur.01251614235.67|1
ur.01300660636.14|ur.01173507213.43|1
ur.01300660636.14|ur.01240773741.23|1
ur.01300660636.14|ur.0623367736.95|1
ur.01300660636.14|ur.015445210647.42|2
ur.01300660636.14|ur.01057260613.79|1
ur.01300660636.14|ur.01153006760.26|2
ur.01300660636.14|ur.01251614235.67|1
ur.01300660636.14|ur.01170271720.20|1
ur.01300660636.14|ur.01170440242.54|1
ur.01300660636.14|ur.01021355352.49|1
ur.01300660636.14|ur.0625726750.90|1
ur.01300660636.14|ur.0612527002.39|1
ur.01240773741.23|ur.01173507213.43|1
ur.01240773741.23|ur.0623367736.95|1
ur.01240773741.23|ur.015445210647.42|1
ur.01240773741.23|ur.01057260613.79|1
ur.01240773741.23|ur.01153006760.26|1
ur.01240773741.23|ur.01251614235.67|1
ur.01240773741.23|ur.01370565641.63|1
ur.01240773741.23|ur.01250363417.21|1
ur.01240773741.23|ur.01231060561.48|1
ur.01240773741.23|ur.01044736411.27|1
ur.01240773741.23|ur.01244635041.24|1
ur.01240773741.23|ur.01070570274.28|1
ur.01240773741.23|ur.01167200161.48|1
ur.01240773741.23|ur.0660573235.78|1
ur.01240773741.23|ur.01361063441.37|1
ur.01251614235.67|ur.01173507213.43|1
ur.01251614235.67|ur.0623367736.95|1
ur.01251614235.67|ur.015445210647.42|1
ur.01251614235.67|ur.01057260613.79|1
ur.01251614235.67|ur.01153006760.26|1
ur.01173507213.43|ur.0623367736.95|1
ur.01173507213.43|ur.015445210647.42|1
ur.01173507213.43|ur.01057260613.79|1
ur.01173507213.43|ur.01153006760.26|1
ur.0623367736.95|ur.015445210647.42|1
ur.0623367736.95|ur.01057260613.79|1
ur.0623367736.95|ur.01153006760.26|1
ur.01057260613.79|ur.015445210647.42|1
ur.01057260613.79|ur.01153006760.26|1
ur.015445210647.42|ur.01153006760.26|2
ur.015445210647.42|ur.01170271720.20|1
ur.015445210647.42|ur.01170440242.54|1
ur.015445210647.42|ur.01021355352.49|1
ur.015445210647.42|ur.0625726750.90|1
ur.015445210647.42|ur.0612527002.39|1
ur.01153006760.26|ur.01170271720.20|1
ur.01153006760.26|ur.01170440242.54|1
ur.01153006760.26|ur.01021355352.49|1
ur.01153006760.26|ur.0625726750.90|1
ur.01153006760.26|ur.0612527002.39|1
ur.01046247764.21|ur.0663550611.06|1
ur.013655512033.30|ur.013066721724.03|1
ur.013655512033.30|ur.015552570057.40|1
ur.01264034644.31|ur.0766143253.20|1
ur.0766143253.20|ur.012073201224.71|3
ur.0766143253.20|ur.0755332074.14|2
ur.01024676171.26|ur.010215006145.88|1
ur.011230322172.45|ur.01364311576.95|2
ur.011230322172.45|ur.07736530137.75|1
ur.011230322172.45|ur.012464441160.24|2
ur.011230322172.45|ur.01127736412.71|1
ur.011230322172.45|ur.010217301725.12|1
ur.011230322172.45|ur.01104531757.05|2
ur.011230322172.45|ur.01123333164.53|2
ur.011230322172.45|ur.0727564714.69|1
ur.011230322172.45|ur.011037046202.82|1
ur.011230322172.45|ur.010746054555.45|1
ur.011230322172.45|ur.01107130536.64|1
ur.011230322172.45|ur.01224661632.44|1
ur.011230322172.45|ur.01045515614.50|1
ur.011230322172.45|ur.01204435444.36|1
ur.011230322172.45|ur.01060024236.19|1
ur.011230322172.45|ur.012441700655.46|1
