source|target|weight
ur.01207120103.29|ur.010205212117.50|1
ur.01207120103.29|ur.01053235174.45|1
ur.01207120103.29|ur.011003777327.22|1
ur.01207120103.29|ur.010553577775.14|1
ur.01207120103.29|ur.01064146320.53|1
ur.01207120103.29|ur.010645131102.92|1
ur.01207120103.29|ur.01072002743.98|1
ur.01207120103.29|ur.01074507765.63|1
ur.01207120103.29|ur.010776654001.90|1
ur.01207120103.29|ur.01246647401.34|1
ur.01207120103.29|ur.01254344543.33|1
ur.01207120103.29|ur.012547452644.37|1
ur.01207120103.29|ur.0702657043.11|1
ur.01207120103.29|ur.0606703734.66|1
ur.01207120103.29|ur.0620564173.19|1
ur.01207120103.29|ur.0624727310.34|1
ur.01207120103.29|ur.0641223730.49|1
ur.01207120103.29|ur.0650322642.18|1
ur.01207120103.29|ur.0701306622.23|1
ur.01207120103.29|ur.0706027064.54|1
ur.01207120103.29|ur.014724464545.40|1
ur.01207120103.29|ur.0712124546.55|1
ur.01207120103.29|ur.0714167574.29|1
ur.01207120103.29|ur.0714500516.26|1
ur.01207120103.29|ur.0730751754.05|1
ur.01207120103.29|ur.0733713310.20|1
ur.01207120103.29|ur.07372145325.11|1
ur.01207120103.29|ur.016026302173.26|1
ur.01207120103.29|ur.014441067023.96|1
ur.01207120103.29|ur.01270070230.36|1
ur.01207120103.29|ur.013150070613.88|1
ur.01207120103.29|ur.01276237421.94|1
ur.01207120103.29|ur.01277202621.80|1
ur.01207120103.29|ur.012776413773.26|1
ur.01207120103.29|ur.01301470055.13|1
ur.01207120103.29|ur.01302747466.26|1
ur.01207120103.29|ur.01303561153.93|1
ur.01207120103.29|ur.01320047175.28|1
ur.01207120103.29|ur.014306243761.27|1
ur.01207120103.29|ur.013245373171.14|1
ur.01207120103.29|ur.01324571004.87|1
ur.01207120103.29|ur.013444422603.51|1
ur.01207120103.29|ur.01345216761.20|1
ur.01207120103.29|ur.01356716460.59|1
ur.01207120103.29|ur.01357557454.25|1
ur.01207120103.29|ur.0752303161.81|1
ur.01207120103.29|ur.0751734455.94|1
ur.01207120103.29|ur.07536771640.97|1
ur.01207120103.29|ur.0763244404.65|1
ur.01207120103.29|ur.0763246667.20|1
ur.01207120103.29|ur.0766143253.20|1
ur.0721730631.45|ur.01207120103.29|34
ur.0721730631.45|ur.0721730631.45|33
ur.0721730631.45|ur.07423561367.62|22
ur.0721730631.45|ur.01242565474.00|18
ur.0721730631.45|ur.0657076451.24|16
ur.0721730631.45|ur.0721775233.60|14
ur.0721730631.45|ur.011535264111.51|12
ur.0721730631.45|ur.011033016243.08|12
ur.0721730631.45|ur.0767105504.29|12
ur.0721730631.45|ur.01100431331.04|10
ur.0721730631.45|ur.0722660612.29|10
ur.0721730631.45|ur.0640512403.86|8
ur.0721730631.45|ur.010546143103.08|8
ur.0721730631.45|ur.0704160417.51|6
ur.0721730631.45|ur.01107342035.04|4
ur.0721730631.45|ur.0674632425.14|4
ur.0721730631.45|ur.01000602647.66|3
ur.0721730631.45|ur.010542646154.35|3
ur.0721730631.45|ur.014515335362.20|3
ur.0721730631.45|ur.01146660016.40|3
ur.0721730631.45|ur.01332351610.88|2
ur.0721730631.45|ur.01257703457.74|2
ur.0721730631.45|ur.0621336461.89|2
ur.0721730631.45|ur.014615403714.34|2
ur.0721730631.45|ur.012137371515.19|2
ur.0721730631.45|ur.01005504116.00|2
ur.0721730631.45|ur.01016454100.33|2
ur.0721730631.45|ur.010205212117.50|2
ur.0721730631.45|ur.01027345757.23|2
ur.0721730631.45|ur.01037737316.13|2
ur.0721730631.45|ur.010524013447.10|2
ur.0721730631.45|ur.01167557463.05|2
ur.0721730631.45|ur.013444422603.51|1
ur.0721730631.45|ur.0667506721.51|1
ur.0721730631.45|ur.0641223730.49|1
ur.0721730631.45|ur.0630776216.98|1
ur.0721730631.45|ur.0620564173.19|1
ur.0721730631.45|ur.0606703734.66|1
ur.0721730631.45|ur.016026302173.26|1
ur.0721730631.45|ur.014441067023.96|1
ur.0721730631.45|ur.014306243761.27|1
ur.0721730631.45|ur.01367004535.41|1
ur.0721730631.45|ur.01360204563.80|1
ur.0721730631.45|ur.01357557454.25|1
ur.0721730631.45|ur.01356716460.59|1
ur.0721730631.45|ur.01345216761.20|1
ur.0721730631.45|ur.0701306622.23|1
ur.0721730631.45|ur.0766143253.20|1
ur.0721730631.45|ur.0763246667.20|1
ur.0721730631.45|ur.0702657043.11|1
ur.0721730631.45|ur.07372145325.11|1
ur.0721730631.45|ur.0723650047.49|1
ur.0721730631.45|ur.0714500516.26|1
ur.0721730631.45|ur.0712124546.55|1
ur.0721730631.45|ur.01340526721.32|1
ur.0721730631.45|ur.011003777327.22|1
ur.0721730631.45|ur.01074507765.63|1
ur.0721730631.45|ur.010645131102.92|1
ur.0721730631.45|ur.010553577775.14|1
ur.0721730631.45|ur.010340372063.09|1
ur.0721730631.45|ur.01017651671.49|1
ur.0721730631.45|ur.01105323735.15|1
ur.0721730631.45|ur.01236223766.99|1
ur.0721730631.45|ur.01320047175.28|1
ur.0721730631.45|ur.013150070613.88|1
ur.0721730631.45|ur.01303561153.93|1
ur.0721730631.45|ur.01302747466.26|1
ur.0721730631.45|ur.012776413773.26|1
ur.0721730631.45|ur.01277202621.80|1
ur.0721730631.45|ur.01253355521.43|1
ur.0721730631.45|ur.01246647401.34|1
ur.0721730631.45|ur.01242425256.87|1
ur.0721730631.45|ur.01242152210.18|1
ur.0721730631.45|ur.01226407050.99|1
ur.0721730631.45|ur.01106534704.27|1
ur.0721730631.45|ur.01217153226.17|1
ur.0721730631.45|ur.012073201224.71|1
ur.0721730631.45|ur.01174312056.32|1
ur.0721730631.45|ur.01170113007.08|1
ur.0721730631.45|ur.01167332553.13|1
ur.0721730631.45|ur.011665231651.17|1
ur.01017036620.03|ur.0632511150.69|16
ur.01017036620.03|ur.01017036620.03|14
ur.01017036620.03|ur.01106116117.02|13
ur.01017036620.03|ur.01331056567.35|3
ur.01017036620.03|ur.0621643160.19|3
ur.01017036620.03|ur.01152151243.29|2
ur.01017036620.03|ur.013166255175.02|1
ur.01017036620.03|ur.01370021645.17|1
ur.01017036620.03|ur.01370465677.06|1
ur.01017036620.03|ur.014732510515.04|1
ur.01017036620.03|ur.016042606472.36|1
ur.01017036620.03|ur.0633456602.93|1
ur.01017036620.03|ur.0767651144.84|1
ur.01017036620.03|ur.0775446106.53|1
ur.01017036620.03|ur.01270211166.22|1
ur.01017036620.03|ur.01240545576.43|1
ur.01017036620.03|ur.01212562774.72|1
ur.01017036620.03|ur.01170402002.42|1
ur.01017036620.03|ur.01004776104.69|1
ur.01017036620.03|ur.01005350474.77|1
ur.01017036620.03|ur.01005433737.34|1
ur.01017036620.03|ur.010216223411.87|1
ur.01017036620.03|ur.01046056107.42|1
ur.01017036620.03|ur.01061254536.75|1
ur.01106116117.02|ur.0632511150.69|13
ur.01106116117.02|ur.01017036620.03|13
ur.01106116117.02|ur.01106116117.02|10
ur.01106116117.02|ur.01061254536.75|3
ur.01106116117.02|ur.010216223411.87|3
ur.01106116117.02|ur.01152151243.29|3
ur.01106116117.02|ur.0767651144.84|3
ur.01106116117.02|ur.016042606472.36|3
ur.01106116117.02|ur.01331056567.35|3
ur.01106116117.02|ur.0621643160.19|1
ur.01106116117.02|ur.01004776104.69|1
ur.01106116117.02|ur.01005350474.77|1
ur.01106116117.02|ur.01212562774.72|1
ur.01106116117.02|ur.01270211166.22|1
ur.01106116117.02|ur.01370465677.06|1
ur.01106116117.02|ur.0633456602.93|1
ur.07423561367.62|ur.01207120103.29|8
ur.07423561367.62|ur.0721730631.45|8
ur.07423561367.62|ur.01242565474.00|6
ur.07423561367.62|ur.07423561367.62|6
ur.07423561367.62|ur.0767105504.29|4
ur.07423561367.62|ur.011033016243.08|4
ur.07423561367.62|ur.011535264111.51|4
ur.07423561367.62|ur.0657076451.24|4
ur.07423561367.62|ur.0721775233.60|3
ur.07423561367.62|ur.01100431331.04|3
ur.07423561367.62|ur.0722660612.29|2
ur.07423561367.62|ur.010546143103.08|2
ur.07423561367.62|ur.0640512403.86|2
ur.07423561367.62|ur.0704160417.51|2
ur.07423561367.62|ur.014306243761.27|1
ur.07423561367.62|ur.0674632425.14|1
ur.07423561367.62|ur.0702657043.11|1
ur.07423561367.62|ur.0714500516.26|1
ur.07423561367.62|ur.01107342035.04|1
ur.07423561367.62|ur.012137371515.19|1
ur.07423561367.62|ur.012776413773.26|1
ur.07423561367.62|ur.013150070613.88|1
ur.01242565474.00|ur.01207120103.29|3
ur.01242565474.00|ur.01242565474.00|3
ur.01242565474.00|ur.0721730631.45|3
ur.01242565474.00|ur.07423561367.62|3
ur.01242565474.00|ur.0657076451.24|2
ur.01242565474.00|ur.0767105504.29|2
